,innings1_runs,innings2_runs,Season,Innings1_BattingTeam,Innings2_BattingTeam,Venue
1175368,54,49,2019,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1175367,29,45,2019,Chennai Super Kings,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
1175366,59,30,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai"
1175365,36,45,2019,Kolkata Knight Riders,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
1175364,62,38,2019,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1175363,35,69,2019,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1175362,52,60,2019,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium
1175361,53,51,2019,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata"
1175360,43,58,2019,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi"
1175359,32,64,2019,Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium
1175358,45,46,2019,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai"
1175357,54,47,2019,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1175356,33,16,2019,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1136620,42,35,2018,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai"
1136619,45,67,2018,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1136618,46,51,2018,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata"
1136617,47,33,2018,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai"
1136616,29,33,2018,Punjab Kings,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune"
1136615,46,57,2018,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi"
1136614,60,66,2018,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
1136613,45,55,2018,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium
1136612,39,44,2018,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi"
1136611,44,56,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium
1136610,60,57,2018,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai"
1136609,68,51,2018,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1136608,47,66,2018,Punjab Kings,Royal Challengers Bangalore,Holkar Cricket Stadium
1136607,51,51,2018,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai"
1136606,29,53,2018,Sunrisers Hyderabad,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune"
1136605,44,58,2018,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi"
1136604,59,58,2018,Kolkata Knight Riders,Punjab Kings,Holkar Cricket Stadium
